Song Name,Lyrics
Way 2 Sexy,"TranslationsTürkçeEspañolРусскийPortuguêsItalianoहिन्दीFrançaisWay 2 Sexy Lyrics[Intro: Right Said Fred]
I'm too sexy for my shirt
Too sexy for my shirt
So sexy, it hurts
I'm too sexy for Milan
Too sexy for Milan
New York or Japan

[Chorus: Future]
Yeah, woah, woah, woah
I'm too sexy for this syrup
Too sexy for your girl
Too sexy for this world
Too sexy for this ice
Too sexy for that jack, yeah, yeah
I'm too sexy for this chain
Too sexy for your gang
Too sexy for this fame, yeah, yeah
I'm too sexy for the trap
Too sexy for that cap
Too sexy for that jack, yeah, yeah
[Verse 1: Drake]
Okay, alright, that's fine, okay (Okay)
I'm feelin' too sexy to accept requests (Way too sexy)
And I'm way too sexy to go unprotected (Way too sexy)
And she popped a Tesla, now she goin' electric
Okay, alright, that's fine, okay
Think we got too sexy for that metro housin' (Way too sexy)
Diamond popped out, almost swallowed sixty thousand (Sixty piece)
Section need more tings in here, I like it crowded, ayy (Woah, woah)
Yeah, I like it crowded
Oh, you like the boy? Well, tell me what you like about him
You a turnt up little thotty, ain't no wife about it
I'ma fuck her friends and send her back to Metro housin'

[Chorus: Future]
Yeah, woah, woah, woah
I'm too sexy for this syrup
Too sexy for your girl
Too sexy for this world
Too sexy for this ice
Too sexy for that jack, yeah, yeah
I'm too sexy for this chain
Too sexy for your gang
Too sexy for this fame, yeah, yeah
I'm too sexy for the trap
Too sexy for that cap
Too sexy for that jack, yeah, yeah (Yeah)
See Drake LiveGet tickets as low as $160You might also like[Verse 2: Future]
I pop out, get ghost on a bitch, she don't know where I went (Where I go?)
Pray for all my dogs, all my niggas behind the fence (Prayer)
Drippin' in it, I be spillin' in it, new designer gear bicoastal
Pay attention to the detail, goin' two-tone on a choker
Young niggas always ready to murk somethin', call them some smokers
Young nigga havin' motion, he gon' make sure the car get—
Did a 360 windmill when I left the scene
That's that action, her best work on her knees
Too sexy for this cash
Too sexy for this syrup
Too sexy for these pills, I'm too sexy for this
I get cash wherever I fly, got bitches sexin' on me
Money, cars, and all this jewelry make a bitch look sexy
I get cash wherever I fly, got bitches sexin' on me

[Chorus: Future]
Yeah, woah, woah, woah
I'm too sexy for this syrup
Too sexy for your girl
Too sexy for this world
Too sexy for this ice
Too sexy for that jack, yeah, yeah
I'm too sexy for this chain
Too sexy for your gang
Too sexy for this fame, yeah, yeah
I'm too sexy for the trap
Too sexy for that cap
Too sexy for that jack, yeah, yeah
[Verse 3: Young Thug]
Too sexy to count (Ah), fetty (Oh)
My neck baguetty (Hoo)
Red diamonds, spaghetti (Oh)
This paper, I shred it (Yeah)
I swindled, no sweatin'
I saw you (Bitch), beggin' (Ho)
Goddamn, you petty (Ha)
I ain't done spending (Yeah)
No penny pinch, I spend it (Spend)
Bags in and out (Let's get bags)
My man ain't gon' steal it (On God)
Hundred bags for her (Hundred bags)
Make these young hoes wish they was rich (Woo)
All-green gators, they look like a switch
Giorgio, I spent twenty-six licks ('Mani)
I'm too sexy (Yeah)
My neck (Yeah), baguetties
Molest me (Woah), caress me (Woah)
I'll let you (Ah), todayski (Ski)
I been kickin' shit (Woah, woah), might need a prosthetic (Yeah)
I pray to the chopper under my pillow, tooth fairy (Woo)47Embed"
TSU,"TranslationsDrake - TSU (Türkçe Çeviri)EspañolРусскийPortuguêsItalianoहिन्दीTSU Lyrics[Intro: OG Ron C]
Yeah, we back
What's up, ladies?
Swishahouse, baby
What's up to all the ladies on the north side, south side, east side, west side?
What's up in Bay City?
What's up to all the ladies in Louisiana?
What's up to all the ladies in Dallas, Austin, San Antonio?
Marshall, Prairie View, it's going down
Wharton County, Texas City, H-Town, baby
TSU ladies
[Chorus]
She moved out of state and shit done went left, she's seekin' forgiveness
She used to dance, but she want a loan to start up a business
Her daddy is not around, her mama is not around
I watch her climb to the top of the pole and then get to slidin' down
I make it rain in this bitch, I make it snow in this bitch
She tryna get out of the mix, shawty is goin' legit
Shawty is goin' legit, me, I'm supportin' this shit
This is a story, it came from my life and I'm just recordin' this shit

[Verse 1]
I'ma just give it to you direct, instead of me throwin' this shit
You know you important and shit
You know I'm supportin' this shit
We used to do pornos when you would come over but now you got morals and shit
I got like four on the wrist and an adorable kid
I got a Drac' in the studio, and I don't just mean that I'm in this bitch
Please make the most of this shit
Don't just come close to some shit
I give you this bread, you run me some head
And then you go glow up a bit

[Chorus]
She moved out of state and shit done went left, she's seekin' forgiveness
She used to dance, but she want a loan to start up a business
Her daddy is not around, her mama is not around
I watch her climb to the top of the pole and then get to s—
I make it rain in this bitch, I make it snow in this bitch
She tryna get out of the mix, shawty is goin' legit
Shawty is goin' legit, me, I'm supportin' this shit
This is a story, it came from my life and I'm just recordin' this shit
See Drake LiveGet tickets as low as $160You might also like[Verse 2]
Her daddy is not around, mama is definitely not around
She got a business plan, but she just ain't had time to write it down
Stay with her sister now, she got a man, but he out of town
Soon as he out of town, they hop in his whip and they ride around
I watch her climb to the top of the pole and then get to slidin', slidin'
Thought about trappin' a player before, but that just ain't right, right
Look in the mirror if you wanna look at some things on the bright side
You popped a 325, you feelin' too good to worry tonight

[Chorus]
She moved out of state and shit done went left, she's seekin' forgiveness
She used to dance, but she want a loan to start up a business
Her daddy is not around, her mama is not around
I watch her climb to the top of the pole and then get to s—
I make it rain in this bitch, I make it snow in this bitch
She tryna get out of the mix, shawty is goin' legit
Shawty is goin' legit, me, I'm supportin' this shit
This is a story, it came from my life and I'm just rec— ayy

[Verse 3]
Black boxes with the bow and rose
Zara heels bound to give ya Zara toes
Back that thing up, it's a wide load, shawty
I don't even know where the time goes, shawty
Know you got some brand new life goals
Baby blue, but you are not a baby, I know, shawty
I know, yeah
So, why you gotta be so hard-headed?
Why you wanna ask? Girl, you know what I did
Actin' like you don't  already know what that is
Baby, just relax, I'm on your side
I will not discuss it with nobody
Neither of our pasts 'bout to go away
You made me forget about it anyway
I know, I know
Black boxes with the bow and rose
Little side hustle with the Fashion Nova
Know we both came from a broken home, shawty
Mom and daddy didn't really get along, shawty
Heard you got some brand new life goals
Baby blue, but you are not a baby, I know, shawty
I know, know, know, know, know37Embed"
N 2 Deep,"TranslationsDrake - N 2 Deep ft. Future (Türkçe Çeviri)EspañolРусскийPortuguêsहिन्दीN 2 Deep Lyrics[Part I]

[Verse 1: Drake]
Oh yeah, yeah
Kept the Galleria open 'til ten for you and your friends
You know how I spend in H-O-U-S-T-O-N
I get too crazy, had a little baddina
We stay good friends, we get too wavy
All I know is that when this cup ends, the next one begins
My bae, you know me and you knew me back then
And you know how it goes when I see you again
You know I'm making my way to your ends
And you know I need you to be there for me
[Verse 2: Drake]
You a little Post Oak baby
You a little forty-eight baby
Got a little candy in her pocket
She gon' take off like a—
You already know (Know, know, know, know)
Dirtied up a cup, I'm on the Northside
Text you but I know you probably courtside
No, I got to come and check the whole man, baby, hold tight
I just touched the city with the G-block stainers
And we got it adopted by some fifth ward strangers
You know what it means when I twist these fingers
Me and you been on a first name basis
Why you think I hate it when you talk that Drake shit?
Same reason that you never left me hangin'
Same reason that I tried to make you famous
Same reason that I tried to show you just who I was

[Chorus: Drake]
Outside of the club, outside the things that a man like me does
Outside of the things that would cause you to judge
Outside of the club
Show you just who I was
Outside of the club, outside the things that a man like me does
Outside of the things that would cause you to judge
Outside of the club
See Drake LiveGet tickets as low as $160You might also like[Interlude]
Some OVO shit, let's go— have some fun, enjoy the show
You know, we in Houston celebrating
We goin' to Houston, Atlanta, Vegas
Y'all are going to Vegas? Now we in Houston
We definitely goin' down
Goddamn it—
[Part II]

[Chorus: Drake]
Pop that shit, pop that shit
Baby, that pussy was so worth the wait
I wasn't in love with none of them anyway
Yeah, pop that shit, pop that shit
Baby, that pussy was so worth the wait
I wasn't in love with none of them anyway
Now I'm in too deep, I'm in too deep, oh
In too deep, in too deep, oh
In too deep, in too deep, oh
I'm in too deep, oh, in too deep

[Verse: Future]
Got some bad bitches
That's gon' fuck me for that AP
Fuck me for that AP, fuck me for that AP
If I wasn't rappin', baby, I would still be trappin', baby
Comin' down on sippin' techs, boppers on me, hella crazy
New Mercedes for my baby, 2022, updated
Shorty met a sponsor in the club
Shock's spend a hundred like dubs
I'm lovin' droppin' bands on her
Emilio Pucci curvin' her up
We turn the studio into a strip club
Got the strippers goin' way up
Drankin' on Texas and I pop two pills
That's gon' make a nigga stay up
In too, in too deep (Pop them freaks)
Bitch on demon time, she don't get sleep
You get She Nay Nay, number five five, one, two, three, woah
[Chorus: Drake]
Pop that shit, pop that shit
Baby, that pussy was so worth the wait
I wasn't in love with none of them anyway
Yeah, pop that shit, pop that shit
Baby, that pussy was so worth the wait
I wasn't in love with none of them anyway
Now I'm in too deep, I'm in too deep, oh
In too deep, in too deep, oh
In too deep, in too deep, oh
I'm in too deep, oh, in too deep17Embed"
Pipe Down,"TranslationsDrake - Pipe Down (Türkçe Çeviri)EspañolРусскийPortuguêsPipe Down Lyrics[Intro]
(I'm working on dying)
Said you belong to the streets but the streets belong to me
It's like home to me (She belongs to the streets)
It's like home to me
I tatted your passport up
Now it's lookin' like a arm sleeve
Just know that was all me

[Verse 1]
And when you see Chanel, I wish that's how you saw me
That shit you tell Chanel, I wish that's how you called me
That raw shit, that honesty, yeah
You know I love you more than all them niggas put together
And it's a lot of niggas' trust, I put the list together
And it's a lot just to assume we're meant to be together
You gotta live that shit for real, you can't just say whatever
You could never tell nobody that you held me down
If it was ride or die then you should've been dead right now
[Chorus]
So I don't get how you're yelling at me
How much I gotta spend for you to pipe down? (Pipe down)
How deep I gotta dig for you to pipe down? (Pipe down)
All the things I've done up until right now (Right now)
I need a thousand pages just to write it down (Write it down)
Writing down these feelings, it's been overdue (Overdue)
Don't know how many pens it's gonna take to get over you
How much I gotta pen for you to pipe down? (Pipe down)
How deep I gotta dig for you to pipe down?

[Verse 2]
Tried to run it back a hundred times
The world is yours, but the city's mine
I can't believe you put it on your mother's life
I can't believe you told me it was ride or die
'Cause you're not here, somehow you're still alive
True enough I know you from the other side
I set my expectations way too high
Yeah, and I would listen to the lies that you would tell all night
Angel eyes, but you've been giving me hell all night
I know the book that you would write is a tell-some, not a tell-all
Just to make sure you well off, you would sell all rights
Why does your ex think we beefin', is that man alright?
That nigga can't even look at me, he fell off twice
And I'm back poppin', I still remember the day I saw you
I was on your ass like back pockets
Niggas love to hate, but what is that stopping?
So much shit I wanted to say, straight to your face
'Cause you're so two-faced, that I don't know which face
You're the reason we'll be going separate ways
You're the reason we cannot communicate
It's not the things you say, it's what you don't say
I'm not in your way, you're in your own way
See Drake LiveGet tickets as low as $160You might also like[Chorus]
So I don't get how you're yelling at me
How much I gotta spend for you to pipe down? (Pipe down)
How deep I gotta dig for you to pipe down? (Pipe down)
All the things I've done up until right now (Right now)
I need a thousand pages just to write it down (Write it down)
Writing down these feelings, it's been overdue (Overdue)
Don't know how many pens it's gonna take to get over you
How much I gotta pen for you to pipe down? (Pipe down)
How deep I gotta dig for you to pipe down?

[Outro]
Baby, pipe down
Ooh, ooh, ooh12Embed"
Yebba’s Heartbreak,"TranslationsTürkçeEspañolPortuguêsYebba’s Heartbreak Lyrics[Verse: YEBBA]
How much better can I show my love for you
Than say ""I do, I do, I do""?
I do, I do, I do
You may not know right where you're going, but
I do, I do, I do
And all the times you wasn't chosen, well, I'll make it up to you
All of the feelings you're not showing
When your river's overflowing, mmm
It's the truth, swear to you
I do, I do, I do, I do, I do
And all that you are, I do
My single line of stars in noon
Reflection of the very moon, I do
I do, I do, I do
Show my love for you
Can I show my love for you?
(Can I show my love for you?)You might also like21Embed"
No Friends In The Industry,"TranslationsTürkçeEspañolPortuguêsNo Friends In The Industry Lyrics[Intro]
No friends in the industry
My brothers been my brothers, man, you niggas ain't no kin to me, a fact (Woah)
Yeah, you heard about me, you don't know me more than that
Yeah I know I—
Hey, hey, yeah

[Chorus]
No friends in the industry
My brothers been my brothers, man, you niggas ain't no kin to me, a fact (Woah)
I was known for snappin' when I chat before the app
Stood on everything I said and never took it back (Woah)
No friends in the industry
I had to draw the line between my brothers and my enemies, a fact
Niggas love to start the beef, don't wanna keep it rap
Yeah, he hit us up and now we owe you something back
[Verse 1]
See, I was young angel but these niggas turned me evil
Yeah, I know I know you, but you really ain't my people
Yeah, I heard some people say they know 'em as my equal
Truth be told, I son these niggas, girl, I don't compete with 'em
Ask about The Boy and they gon' say they got the streets with him
Niggas so offensive knowin' they don't have no defense
Why they always act like we can fix it with a meeting?
All that linking up, man, I'ma see ya when I see ya
Yeah
Yeah
Yeah, brothers been my brothers, man
You niggas ain't no kin and that's a fact (Ayy)
And I'm like Sha'Carri, smoke 'em on and off the track (Aye)
And you love that hoe, but me, I put her on her back
You get Drizzy on a track, he'll put you on the map
Oh, it's like that? Hell yeah it's like that (Ayy)
And I got a contract, it's a max (Ayy)
SInce I got in contact, she attached
When I signed my first deal, that shit came through a fax
That should let you know how long I been out here runnin' laps
(I been doin' this for a long time)

[Chorus]
Yeah, no friends in the industry
My brothers been my brothers, man, you niggas ain't no kin to me, a fact (Woah)
I was known for snappin' when I chat before the app
Stood on everything I said and never took it back (Woah)
No friends in the industry
I had to draw the line between my brothers and my enemies, a fact
Niggas love to start the beef, don't wanna keep it rap
Yeah, he hit us up and now we owe you something back
See Drake LiveGet tickets as low as $160You might also like[Verse 2]
(Ayy, what?)
Damn, this shit too dirty, gotta yellow tape it
And I got her waitin' at the telly naked
We ain't drop though, how you niggas celebratin'?
Already disrespecting, something I ain't tolerating
You niggas fuck with me, I give 'em motivation
And your circle shrinkin', see some boys escapin'
Rest of them is guilty by association (Ayy, what?)
Fuck debatin' who the goat
Bet not make the shit up 'bout the numbers all I know
Bet not make the shit up 'bout the summer all I know
Better find ya someone else to hit with all that smoke, nigga, yeah
And all them tweets and all them posts
Ain't got the type of time to be playin' with you folk
I had a Richard prior to these niggas, that's the joke
I'm really down to die behind these verses in my notes

[Outro]
Yeah
Yeah
Yeah, brothers with my brothers, man, you niggas ain't no kin and that's a—
(I could play off the iPod?
Yeah 'cause this a mother fuckin' 2016, baby
I see the way the lights go, on the dashboard
The lights go to the dashboard
That's how you know it's new, ooh)14Embed"
Knife Talk,"TranslationsDrake - Knife Talk ft. 21 Savage & Project Pat (Türkçe Çeviri)EspañolPortuguêsKnife Talk Lyrics[Intro: Project Pat & 21 Savage]
I gotta feed the streets, my pistol gon' bleed the streets
Ski mask on my face, sometimes you got to cheat
To stay ahead in this bitch-ard (Gang), drank syrup like it's liquor
Street life'll have you catchin' up to God quicker (Yeah, gang)
Sticker, AK-40 to your liver
Let the chopper bang on you like a Blood or a Cripper (Gang)
Flipper, so much bread, I'm a gymnast
Made so much money off of dummies, off of dummies (Yeah, gang)

[Verse 1: 21 Savage]
I'm mister body catcher, Slaughter Gang soul snatcher
Ain't no regular F-150, this a fuckin' Raptor
No capper, street nigga, not a rapper
Chopper hit him and he turned into a booty clapper
Smith & Wesson, I'm 4L Gang reppin'
We done baptized morе niggas than the damn reverеnd (Yeah)
Kappa Alpha, me and my gang, we do all the steppin'
Who you checkin'? This FN shoot East to West End (Gang)
[Verse 2: Drake]
Yeah
I heard Papi outside
And he got the double-R droppy outside
Checked the weather and it's gettin' real oppy outside
I'ma drop this shit and have these pussies droppin' like some motherfuckin' flies
Type of nigga that can't look me in the eyes
I despise
When I see you, better put that fuckin' pride to the side
Many times, plenty times, I survived
Beef is live, spoiler alert, this nigga dies

[Verse 3: 21 Savage]
Keep blickies, and you know the weed sticky
My finger itchy, the Glock like to leave hickeys
Your shooters iffy, a street punk could never diss me
I come straight up out the 6, and we don't spare sissies

[Verse 4: Drake]
I fuck with her, and fuck with her, and her
I hit up err and tell him do the err, for sure
Voodoo curse, it got him while I flew to Turks
Know the dogs had to hit them where we knew it hurts

[Chorus: 21 Savage & Drake]
Gang shit, that's all I'm on (Yeah)
Gang shit, that's all I'm on
Nigga, gang shit, that's all I'm on
Gang shit, that's all I'm on
Nigga, gang shit, that's all I'm on
Gang shit, that's all I'm on
Nigga, gang shit, that's all I'm on
Gang shit, that's all I'm on
See Drake LiveGet tickets as low as $160You might also like[Verse 5: 21 Savage]
Let it bang, bang, let it bang, bang
'Til his brains hang and his mama sang
And the pastor sang and them bullets sang
And them choppers sang and the choir sang

[Verse 6: Drake]
I'm on everything
Jacob charged me four-fifty for a tennis chain
US Open, had it on us at the tennis game
Tell the coach don't take me out, I like to finish games
And my pen insane, and my men insane
There's like eighty of us now, that's the scary thing
Shit they doin' on that other side embarrassing
We in Paris with it, hundred carats with it
All this shit is for my son, 'cause he's inheritin' it

[Interlude: 21 Savage]
If Young Metro don't trust you I'm gon' shoot you
Gang
Metro

[Chorus: 21 Savage]
Gang shit, that's all I'm on
Gang shit, that's all I'm on
Nigga, gang shit, that's all I'm on
Gang shit, that's all I'm on
Nigga, gang shit, that's all I'm on
Gang shit, that's all I'm on
Nigga, gang shit, that's all I'm on
Gang shit, that's all I'm on, yeah51Embed"
7am On Bridle Path,"TranslationsDrake - 7am on Bridle Path (Türkçe Çeviri)Português7am On Bridle Path Lyrics[Intro]
Yeah (Go Squad)
Ayy
Look

[Verse]
I wish everyone could tell me exactly what they need from me
The first second they speak to me, I'm not with all the secrecy
Secretly beefin' me behind closed doors
But playin' it peacefully for the streets to see
My nigga, have some decency
Don't move like a puto
Could at least keep it a buck like Antetokounmpo
I made north of the border like Vito Rizzuto
Throwin' parties in Miami, they lovin' us mucho
With the ho ratio, I'm like David Caruso
Thеre's a mad shortage of peoplе givin' me kudos
I been doin' this since T-Pain was pourin' us Nuvo
You tell 'em I run the country, they'll say, ""True, though""
Papi chulo, grippin' culo
And I got the flows niggas steal like boot toes
You boys reachin' new lows
Lettin' me take the rap for that Casper the Ghost shit
While you findin' all of the loopholes
You niggas move too cold
See the watch collection and assume I got time
'Cause of the ruby rose two-tone
Or switch it to the one I call ""R.I.P. Nipsey""
'Cause I swear to God the bezel got sixty of them blue stones
Maybe I'm gettin' too stoned
Calacatta marble for my tombstone
Here lies a nigga that never lied in his new song
Or any of his old songs
They sing them shits like folk songs
Kumbaya, boom-ba-ye
Know the owl stay on me
Bad bitches tryna come through and lay on me
Tryna get the earl grey on me
But I ain't really into talkin' names
Only tee you're getting from me is one for the walk of shame
Heart is on my sleeve and my body is in the hall of fame
High fashion and my life is full of climaxes
And my wishes come true without blowin' eyelashes
Up in 'Bron crib, fishbowl wineglasses
That's how we passin' time
Hundred thousand on the line
At the table prayin' banker shows a natural nine
It never happens half the time
My losing nights are still a vibe
That's the things I accept
You over there in denial, we not neck and neck
It's been a lot of years since we seen you comin' correct
Man, fuck a ""Respectfully,"" I just want my respect
They tried to label me mean, I say what I mean
People that could've stayed on the team
They played in-between
Clouds is hanging over you now, 'cause I'm reigning supreme
Some of these niggas say what they mean, it ain't what it seems
Had to pull my niggas out the mud like I'm trainin' Marines
You niggas hot to them little kids, you ain't famous to me
Told you I'm aimin' straight for the head, not aiming to please
I could give a fuck about who designing your sneakers and tees
Have somebody put you on a Gildan, you play with my seed
Trust me, there's some shit you really gotta come see to believe
That's why your people not believers, they all leavin' ya
That's why you buyin' into the hype that the press feedin' ya
You know the fourth level of jealousy is called media
Isn't that an ironic revelation?
Give that address to your driver, make it your destination
'Stead of just a post out of desperation
This me reachin' the deepest state of my meditation
While you over there tryna impress the nation
Mind's runnin' wild with the speculation
Why the fuck we peacemakin', doin' the explanations
If we just gon' be right back in that bitch without hesitation?
But let me digress on behalf of the association
I'll play it cool with you, then mark a nigga like Copenhagen
See, they gettin' loose with the line like open cages
In the La Ferrari, my emotions racin', dancin' out a condo, ocean bathin'
Niggas textin' ""Bro,"" but we are not of no close relation
I was down to give these niggas credit, but hold the payment
Somehow I'm the greatest in the game, to my own amazement
The greatest in the world, there's no debatin'
You boys 'bout to wheel me to defeat like we rollerbladin'
Far as the Drake era, man, we in the golden ages
Look at the total wages
And look at the heroes fallin' from grace in their older ages
If we talkin' top three, then you been slidin' to third like stolen bases
Toss around Rollies with frozen faces
They used to tell me back in the day, ""Boy, you're going places""
Never understood where I could really take it
[Outro]
YeahSee Drake LiveGet tickets as low as $160You might also like22Embed"
Race My Mind,"TranslationsDrake - Race My Mind (Türkçe Çeviri)EspañolPortuguêsहिन्दीRace My Mind Lyrics[Verse 1]
Just hung up the phone and I
Could already tell that you're comin' home intoxicated, ooh
So you better take your time with me
'Cause I remember last time you wouldn't make love to me
Then you fell fast asleep (I hope you niggas sleep)
Wouldn't even talk to me, no
Say— Say I'm so crazy, baby (I'm so crazy)

[Chorus]
I wanted you to race my mind, I got the keys
Please, for me
Since you're comin' home intoxicated, oh
For me, please
I wanted you to race my mind, mind
[Verse 2]
They said you got high as the sky
Up all night just dancin', huh
I hit you like, ""Please come home to me"" (Come home to me)
But you're not understandin', no
You gon' make me beg, make me plead (Plead)
I wanted you to race my mind, I got the keys
I just figured you could make time for me
Since that you're comin' home intoxicated, oh, yeah

[Bridge]
Race my mind, I got the keys, please

[Verse 3]
Picture me rollin' through downtown in a A4
Picture my signature on a pair of some J 4s
Picture me carin' what niggas sayin' on Wi-Fi they don't pay for
Knew I needed love, but I think I value the hate more
To push towards things that I prayed for
Retrograde energy shifts are what I was made for
And don't you dare hit me back with no ""K, sure""
Soon as I tell you that you the one I would wait for
You too saucy, too flossy, you moved in and moved off me
All to be with niggas who just startin' to move bossy
Maybe I just handled you too softly
Them boys got no Kelis in they blood
If your whole heart wasn't in it, I know a piece of it was
Posted that pic you sent me, it wasn't recent enough
How I'm supposed to wife it? You not Ayesha enough
You love getting T'd up
Love showin' the cakes, you know that they eat it up
Love touchin' the road as soon as it's heatin' up
Invited you over, you said that you showin' up
All them spelling mistakes, I know that you drunk as fuck
All them other mistakes, let's let it be what it was
Them niggas just can't understand it
I want you to change my mind, I'm praying you pulling up
Know who you be around, I know that they teaming up
Telling you you better off leavin' me in the dust
See Drake LiveGet tickets as low as $160You might also like[Chorus]
I wanted you to race my mind, I got the keys
Please, for me
Since you're comin' home intoxicated, oh
For me, please
I wanted you to race my mind, mind13Embed"
Fountains,"TranslationsTürkçeEspañolFountains Lyrics[Verse 1: Drake]
How do you know the way I feel?
You got me losing my mind, oh
Try to suppress my emotions
They're bursting like fountains, baby
They take me up, they take me down
I’m getting weak in my knees, oh

[Chorus: Tems]
I got nothing to admire, taste certain
Baby, longing you make me feel something
I got my eyes on you, pull down the curtain
I'll be patient with you, no more fighting
[Post-Chorus: Drake & Tems]
Oh, baby
Come in, come in, yeah, come in
I cannot fathom this life without you
Woah, oh, come in, come in, yeah, come in
This feels like home now
Come in and stay here
Baby
Baby, baby
Baby, baby

[Verse 2: Tems]
I feel you in my mind
I want to dance tonight
It's in thе air tonight, yeah, yeah, yeah
You know it’s all your fault
No, I don't wanna say no
You'vе broken down the door
Don't make me go, no

[Pre-Chorus: Tems]
I just wanna hold you
I need no control, no
Would you let me love you, me love you?
It's all over
I lost my composure
I got love to show you
Would you let me love you, me love you, baby?
See Drake LiveGet tickets as low as $160You might also like[Chorus: Tems]
I got nothing to admire, taste certain
Baby, longing you make me feel something
I got my eyes on you, pull down the curtain
I'll be patient with you, no more fighting

[Post-Chorus: Drake & Tems]
Oh, baby
Come in, come in, yeah, come in
I cannot fathom this life without you
Woah, oh, come in, come in, yeah, come in
This feels like home now
Come in and stay here
Baby
Baby, baby10Embed"
Get Along Better,"TranslationsDrake - Get Along Better ft. Ty Dolla $ign (Türkçe Çeviri)EspañolPortuguêsGet Along Better Lyrics[Intro: Drake]
Uh
This might be too real, too real

[Verse 1: Drake & Ty Dolla $ign]
Hold me closer in these
Trying times, supposed to be mine
Baby
I need some help just like anyone else
Hold me closer in these
Trying times, open your eyes
Baby
You said you felt something for me (Talk to 'em)
I don't know when
Based on the signals you send
Based on the way you apologized
When you came to see me and then (Then what?)
You had the nеrve to defend (Dеfend what?)
Mistakes that you made at the end
You said I was too invested
And that's what had forced you to go and pretend
I swear you crazy
Someone that's close to you reached out to me just to see if we had made amends (Oh)
[Chorus: Drake & Ty Dolla $ign]
Trust me, this ain't 'bout revenge
But now I get along better with your friend (Woo)
And it's wrong, I know (Know, know, know)
But again (Ooh, yeah)
Trust me, this ain't 'bout revenge
I get along better with your friend (Oh)
And it's wrong, I know, it's wrong, I know, oh

[Verse 2: Drake]
No
You said you felt, you said you felt
Something that's different from everyone else
You had the nerve to still ask for my help
Dug you out ditches, you buried yourself, ah-oh
You said you fell
And I took your word that night in our hotel
One thing about time, surely, time's gonna tell
Never had to work for much, so you said it yourself, ah-oh, oh
Can't let it go, can't get this out of me
This shit still bothers me
Don't you dare (Don't you dare)
Don't say you're proud of me
Hurt's just unreal to me
Now you wanna come crack to me (Crack, crack)
Three whole years after me
Why did you wait 'til the end?
See Drake LiveGet tickets as low as $160You might also like[Chorus: Drake & Ty Dolla $ign]
Trust me, this ain't 'bout revenge
But now I get along better with your friend, friend
And it don't feel wrong, but again
Trust me, this ain't 'bout revenge
I get along better with your friend
Oh, and it's wrong, I know, but again
Trust me, this ain't 'bout revenge
I get along better with your friend11Embed"
